time/time_elapsed,time/iterations,time/fps,time/total_timesteps,reward,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/n_updates,train/approx_kl
23,1,50,1200,417.4436612073524,,,,,,,,,,,
49,2,48,2400,95.17653903503354,0.001,-0.0003945161006205714,0.0,0.0021944046020507812,7317.017578125,0.2,-1.4219382047653197,1.0038281679153442,17229.95389404297,10,0.00032803384
77,3,46,3600,711.8992498096801,0.001,-0.0008990450086736453,0.0011666666405896345,0.0024536848068237305,339249.28125,0.2,-1.4165865764021874,0.9819787740707397,397277.41351928713,20,0.0013719216
104,4,45,4800,947.7934333368302,0.001,-6.534063372650352e-05,0.0,-0.0010513067245483398,844672.75,0.2,-1.4015199373165765,0.9847564101219177,1214396.306575521,30,5.6864967e-05
128,5,46,6000,750.9713812937441,0.001,-0.0001415015945566774,0.0,0.052827417850494385,472124.78125,0.2,-1.4023551339904468,0.9823870658874512,892727.0962890625,40,1.0297944e-05
154,6,46,7200,1103.0467798596833,0.001,-0.00044334130477311493,0.0,0.09401273727416992,45594.1484375,0.2,-1.4010963519414266,0.9814873933792114,202556.20193684896,50,8.248305e-05
178,7,46,8400,1589.8602540063744,0.001,-1.4725825051113233e-06,0.0,0.11894571781158447,382262.9375,0.2,-1.4001973137259482,0.9812310338020325,389948.16962890624,60,1.0220509e-05
204,8,46,9600,1230.9208149659808,0.001,-0.00015439457447198693,0.0,0.06086397171020508,280536.3125,0.2,-1.3996082430084547,0.9799301028251648,203817.3098876953,70,4.174908e-05
231,9,46,10800,556.6568748380317,0.001,-0.00013334719519156508,0.0,0.01675504446029663,265602.125,0.2,-1.3973632737994195,0.9774844646453857,465356.96184895834,80,3.1819192e-05
256,10,46,12000,1133.9552282919096,0.001,-0.00015931438344555607,0.0,0.031755030155181885,574166.875,0.2,-1.396399831275145,0.9781900644302368,791313.7568684896,90,2.7765285e-05
282,11,46,13200,1623.339372325524,0.001,-0.00026106587888562925,0.0,0.05104118585586548,628370.9375,0.2,-1.3966502770781517,0.9772259593009949,519369.63212890626,100,9.77914e-05
307,12,46,14400,2031.3475778713298,0.001,-0.00010945320927004213,0.0,0.18532490730285645,386794.71875,0.2,-1.3954715237021447,0.9761140942573547,413636.64469401044,110,1.1922965e-05
333,13,46,15600,2442.7796053349243,0.001,-0.00012604336598186493,0.0,0.3072279691696167,11750.5947265625,0.2,-1.3943594947457314,0.9758414030075073,388800.4483235677,120,2.5725762e-05
358,14,46,16800,2928.8402952368533,0.001,-0.0009308479364632749,0.0,0.12954580783843994,157866.703125,0.2,-1.3952188551425935,0.9771394729614258,581932.0602539063,130,0.00018165594
384,15,46,18000,3469.4035337320443,0.001,-0.0018117086638283894,0.0,0.12053072452545166,48812.109375,0.2,-1.3919907877842586,0.9682153463363647,370037.5380859375,140,0.00053974945
410,16,46,19200,4087.790450754506,0.001,-0.00032716757897207255,0.0,0.06436026096343994,574368.625,0.2,-1.385634367664655,0.9663909077644348,745191.9397623698,150,8.830766e-05
434,17,46,20400,4755.478113394676,0.001,-3.743705448370586e-06,0.0,-0.07886338233947754,7490.22802734375,0.2,-1.3877438768744468,0.971794843673706,143126.34256184896,160,7.684578e-05
460,18,46,21600,5324.844397563319,0.001,-0.0024431203537981895,0.007999999821186066,0.5457829236984253,4732.322265625,0.2,-1.383766309916973,0.9631279110908508,13490.374291992188,170,0.0026363528
484,19,47,22800,5784.914864587647,0.001,-0.000846860584902176,0.0,0.09372580051422119,89925.2890625,0.2,-1.382216514647007,0.9646002054214478,386948.32991536456,180,0.0002169668
509,20,47,24000,6108.089023084132,0.001,-0.0018844507935256531,0.004749999893829226,0.049723148345947266,115053.7109375,0.2,-1.3812383790810903,0.9614347219467163,180813.4626220703,190,0.0031383748
534,21,47,25200,6204.62862055059,0.001,-0.00023885009639039722,0.0,0.0910751223564148,138455.78125,0.2,-1.3785961776971818,0.9624319672584534,199159.9197591146,200,0.00022887591
560,22,47,26400,6159.404637231246,0.001,-0.00026060746537647596,0.00016666666294137638,0.18566197156906128,12644.5859375,0.2,-1.3850109135111173,0.9713764190673828,351875.7795206706,210,0.000533557
585,23,47,27600,6455.16832359569,0.001,-0.0001101007033877647,0.0,0.15242135524749756,83097.21875,0.2,-1.3875790496667226,0.9671918153762817,197391.68096110027,220,0.00010075912
611,24,47,28800,6943.415713548241,0.001,-0.00018327654424861914,0.0010833333091189465,0.13441812992095947,355822.125,0.2,-1.3835813129941623,0.9651482105255127,174400.51276855468,230,0.0012753581
