time/total_timesteps,reward,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/std,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl
1200,766.4715012422209,23,50,1,,,,,,,,,,,
2400,1198.4253429903079,48,49,2,10,24697.6175008138,1.0084282159805298,0.001,9164.9453125,-0.0027763418346577733,0.013999999687075614,0.0009594559669494629,0.2,-1.426853677133719,0.0024941254
3600,1155.940749919671,72,49,3,20,199272.44150797525,1.0012251138687134,0.001,85798.84375,0.00013457738681223278,0.0004999999888241291,-0.008508086204528809,0.2,-1.4273729374011357,0.001175163
4800,0,100,47,4,30,354142.2024943034,1.0068624019622803,0.001,392933.28125,6.886071483299302e-06,0.00016666666294137638,-0.014812827110290527,0.2,-1.4220285336176555,0.0006117924
6000,837.6932418855354,125,47,5,40,1280697.6494466146,1.017153263092041,0.001,375775.84375,-0.0008963862231832246,0.003583333253239592,0.0007785558700561523,0.2,-1.4314081788063049,0.0010568128
7200,1646.7030374810183,151,47,6,50,355273.00849609374,1.0152684450149536,0.001,358522.75,-0.0007672729840678572,0.0,0.03620344400405884,0.2,-1.4352198903759321,0.00032302356
8400,2399.2100207412896,177,47,7,60,774270.3622395833,1.017490267753601,0.001,368295.4375,-0.0001432154043626029,0.0,0.04720580577850342,0.2,-1.4350998436411222,2.291734e-05
9600,3130.976761372408,202,47,8,70,683878.2143229167,1.0177377462387085,0.001,39269.4375,-1.3870860458801518e-05,0.0,0.06241118907928467,0.2,-1.4361881489555042,4.542122e-06
10800,3894.421637125941,227,47,9,80,562923.1572428385,1.0212080478668213,0.001,356212.90625,-0.0002579360959430825,0.0,0.029368460178375244,0.2,-1.438227833310763,4.5247823e-05
12000,4699.203435614084,252,47,10,90,282493.88047688804,1.0245572328567505,0.001,326113.875,-0.0010355236256392195,0.0,0.08800911903381348,0.2,-1.4418932740887007,0.0005433001
13200,5505.012040670772,279,47,11,100,20459.727461751303,1.0000196695327759,0.001,10307.525390625,-0.003186832952674042,0.009166666446253658,0.33342498540878296,0.2,-1.4313976645469666,0.0030244754
14400,6252.256561704565,303,47,12,110,751329.2878580729,0.9961622953414917,0.001,512741.4375,-0.00024827329928363376,0.0,0.012896060943603516,0.2,-1.4161745443940164,5.739862e-05
15600,7023.68933208302,329,47,13,120,154782.22244059245,0.9780125021934509,0.001,6729.57568359375,-0.0015491666893647782,0.003583333237717549,0.14071804285049438,0.2,-1.407191867629687,0.0026599884
16800,7823.536937825455,353,47,14,130,563105.4171468099,0.9777942895889282,0.001,567552.75,-0.00045796385031614354,0.0,-0.049397945404052734,0.2,-1.3957180654009183,0.00012550752
18000,8619.573188191805,377,47,15,140,182882.84438680013,0.9823919534683228,0.001,9180.7353515625,-0.0014572938306533834,0.0029999999329447745,-0.02949678897857666,0.2,-1.399481929341952,0.001952604
19200,9424.212774714708,403,47,16,150,194985.03505452475,0.993704617023468,0.001,48216.984375,-0.0018911583710785162,0.002166666618237893,0.07811176776885986,0.2,-1.4065874174237252,0.0014368304
20400,10230.848563200027,427,47,17,160,481266.9599609375,0.9900508522987366,0.001,48669.6328125,-0.00012966872797642303,0.0,0.055653929710388184,0.2,-1.4117340336243311,0.0001943215
21600,11033.215944025143,451,47,18,170,19296.50829264323,0.9683857560157776,0.001,6235.0595703125,-0.004696390599512294,0.04041666549940904,0.3875720500946045,0.2,-1.4015709002812704,0.0071509215
22800,11798.012915637195,476,47,19,180,214227.734757487,0.9700399041175842,0.001,34328.765625,-0.00037672506659542173,0.0,0.1653364896774292,0.2,-1.386531758805116,0.00031517007
24000,12516.94918917148,501,47,20,190,356009.4378011068,0.9704813957214355,0.001,23804.966796875,-0.0011255694427551735,0.00024999999441206456,-0.009439706802368164,0.2,-1.3885979736844698,0.0012503412
25200,13181.998638830464,526,47,21,200,359405.98203125,0.9652371406555176,0.001,116781.75,-0.0007463956430911282,0.0,-0.006526589393615723,0.2,-1.385824204981327,0.0006473497
26400,0,551,47,22,210,199722.56403808593,0.9589579701423645,0.001,27479.349609375,0.00013304035917747204,0.0007499999832361936,0.019304871559143066,0.2,-1.379562658071518,0.0013752533
27600,712.2081073841978,577,47,23,220,17753.77244059245,0.9141315817832947,0.001,6122.5322265625,-0.0029689707951447986,0.018916666243846216,0.269905686378479,0.2,-1.347647217909495,0.0025624086
28800,1338.5140088432954,603,47,24,230,336745.3488769531,0.910795271396637,0.001,235241.59375,-0.0005060534391839918,0.0,0.018657326698303223,0.2,-1.328062432507674,0.0004567761
30000,2016.760387275965,629,47,25,240,15479.891524251301,0.9268865585327148,0.001,9747.2578125,-0.0022183929612783703,0.01516666632766525,0.04369843006134033,0.2,-1.3456168433030447,0.0034324082
